iter	Passed	Remaining
326	2634	5422
327	2642	5413
328	2649	5403
329	2656	5392
330	2663	5383
331	2670	5372
332	2677	5363
333	2684	5353
334	2691	5343
335	2698	5333
336	2703	5318
337	2711	5309
338	2718	5300
339	2726	5291
340	2733	5282
341	2741	5273
342	2748	5264
343	2755	5254
344	2762	5245
345	2770	5236
346	2777	5226
347	2784	5216
348	2791	5206
349	2798	5197
350	2805	5187
351	2812	5178
352	2821	5171
353	2830	5164
354	2837	5155
355	2844	5145
356	2851	5136
357	2859	5127
358	2866	5118
359	2873	5108
360	2881	5099
361	2888	5090
362	2895	5081
363	2902	5071
364	2910	5064
365	2918	5055
366	2926	5047
367	2933	5038
368	2941	5030
369	2949	5021
370	2957	5014
371	2965	5006
372	2974	4999
373	2981	4990
374	2989	4983
375	2997	4973
376	3006	4967
377	3013	4958
378	3020	4949
379	3027	4939
380	3034	4930
381	3039	4917
382	3047	4908
383	3056	4902
384	3063	4893
385	3072	4886
386	3079	4878
387	3088	4871
388	3095	4861
389	3103	4853
390	3110	4844
391	3118	4836
392	3125	4827
393	3137	4825
394	3145	4817
395	3152	4808
396	3159	4799
397	3166	4789
398	3173	4780
399	3180	4771
400	3187	4762
401	3196	4754
402	3203	4745
403	3210	4736
404	3217	4727
405	3224	4718
406	3232	4709
407	3239	4700
408	3246	4690
409	3253	4681
410	3260	4672
411	3267	4663
412	3275	4654
413	3282	4645
414	3291	4640
415	3301	4635
416	3311	4629
417	3318	4621
418	3326	4612
419	3333	4603
420	3340	4594
421	3347	4585
422	3354	4576
423	3362	4567
424	3369	4558
425	3376	4549
426	3383	4540
427	3390	4531
428	3398	4522
429	3405	4514
430	3414	4507
431	3421	4498
432	3428	4489
433	3435	4480
434	3442	4471
435	3450	4463
436	3457	4454
437	3464	4445
438	3471	4436
439	3479	4428
440	3486	4419
441	3495	4412
442	3499	4399
443	3507	4391
444	3514	4383
445	3521	4374
446	3529	4366
447	3536	4357
448	3545	4350
449	3552	4341
450	3559	4333
451	3566	4324
452	3574	4316
453	3581	4307
454	3588	4298
455	3595	4289
456	3602	4280
457	3609	4271
458	3616	4263
459	3623	4254
460	3630	4245
461	3638	4236
462	3645	4228
463	3652	4219
464	3659	4210
465	3666	4201
466	3673	4193
467	3681	4184
468	3688	4176
469	3695	4167
470	3702	4158
471	3709	4149
472	3716	4141
473	3724	4132
474	3731	4124
475	3738	4115
476	3745	4107
477	3753	4098
478	3760	4090
479	3764	4077
480	3771	4069
481	3778	4060
482	3785	4052
483	3792	4043
484	3800	4035
485	3807	4026
486	3814	4018
487	3821	4009
488	3828	4001
489	3835	3992
490	3842	3983
491	3850	3975
492	3857	3966
493	3864	3958
494	3871	3949
495	3878	3941
496	3885	3932
497	3892	3923
498	3899	3915
499	3906	3906
500	3914	3898
501	3921	3890
502	3928	3881
503	3935	3872
504	3942	3864
505	3949	3856
506	3957	3847
507	3964	3839
508	3971	3830
509	3978	3822
510	3985	3814
511	3992	3805
512	3999	3796
513	4006	3788
514	4013	3779
515	4020	3771
516	4027	3762
517	4035	3754
518	4042	3746
519	4049	3737
520	4056	3729
521	4063	3721
522	4070	3712
523	4078	3704
524	4085	3696
525	4092	3687
526	4099	3679
527	4106	3671
528	4119	3667
529	4127	3660
530	4134	3652
531	4138	3640
532	4145	3632
533	4155	3625
534	4162	3617
535	4170	3610
536	4178	3602
537	4186	3594
538	4193	3586
539	4201	3579
540	4208	3570
541	4217	3563
542	4224	3555
543	4233	3548
544	4241	3540
545	4250	3534
546	4257	3525
547	4266	3518
548	4274	3511
549	4283	3504
550	4290	3496
551	4298	3488
552	4305	3480
553	4314	3473
554	4321	3464
555	4328	3456
556	4336	3448
557	4345	3442
558	4354	3435
559	4362	3427
560	4369	3419
561	4376	3410
562	4383	3402
563	4390	3394
564	4397	3385
565	4404	3377
566	4411	3369
567	4418	3360
568	4426	3352
569	4433	3344
570	4440	3336
571	4447	3328
572	4457	3321
573	4464	3313
574	4471	3304
575	4478	3296
576	4485	3288
577	4492	3280
578	4499	3271
579	4506	3263
580	4514	3255
581	4521	3247
582	4528	3239
583	4535	3231
584	4543	3222
585	4549	3214
586	4557	3206
587	4564	3198
588	4571	3190
589	4578	3182
590	4585	3173
591	4592	3165
592	4600	3157
593	4607	3149
594	4614	3141
595	4621	3132
596	4628	3124
597	4635	3116
598	4643	3108
599	4650	3100
600	4657	3091
601	4664	3083
602	4671	3075
603	4678	3067
604	4685	3059
605	4692	3051
606	4699	3042
607	4706	3034
608	4714	3026
609	4721	3018
610	4728	3010
611	4735	3002
612	4744	2995
613	4752	2987
614	4759	2979
615	4767	2971
616	4774	2963
617	4782	2956
618	4790	2948
619	4797	2940
620	4805	2932
621	4812	2924
622	4819	2916
623	4827	2908
624	4834	2900
625	4841	2892
626	4848	2884
627	4855	2876
628	4862	2868
629	4870	2860
630	4877	2852
631	4884	2844
632	4891	2836
633	4898	2828
634	4905	2819
635	4912	2811
636	4920	2803
637	4927	2795
638	4934	2787
639	4941	2779
640	4949	2771
641	4955	2763
642	4963	2755
643	4970	2747
644	4979	2740
645	4987	2733
646	4994	2725
647	5001	2717
648	5008	2708
649	5016	2700
650	5023	2693
651	5030	2685
652	5037	2677
653	5044	2668
654	5051	2660
655	5058	2652
656	5065	2644
657	5072	2636
658	5079	2628
659	5086	2620
660	5098	2614
661	5107	2607
662	5114	2599
663	5121	2591
664	5129	2583
665	5136	2575
666	5143	2567
667	5150	2559
668	5157	2551
669	5164	2543
670	5172	2535
671	5179	2527
672	5186	2519
673	5193	2511
674	5200	2503
675	5207	2495
676	5214	2487
677	5222	2480
678	5229	2472
679	5237	2464
680	5244	2456
681	5252	2449
682	5260	2441
683	5267	2433
684	5275	2425
685	5282	2417
686	5290	2410
687	5297	2402
688	5304	2394
689	5311	2386
690	5319	2378
691	5326	2370
692	5333	2362
693	5343	2355
694	5350	2347
695	5357	2340
696	5373	2336
697	5396	2334
698	5409	2329
699	5423	2324
700	5437	2319
701	5453	2314
702	5467	2309
703	5479	2303
704	5493	2298
705	5507	2293
706	5520	2287
707	5536	2283
708	5551	2278
709	5560	2271
710	5567	2263
711	5575	2255
712	5582	2247
713	5590	2239
714	5597	2231
715	5604	2223
716	5611	2214
717	5619	2206
718	5626	2198
719	5632	2190
720	5639	2182
721	5646	2174
722	5654	2166
723	5661	2158
724	5668	2150
725	5675	2142
726	5682	2134
727	5689	2125
728	5697	2117
729	5704	2109
730	5711	2101
731	5718	2093
732	5725	2085
733	5732	2077
734	5739	2069
735	5747	2061
736	5754	2053
737	5761	2045
738	5768	2037
739	5775	2029
740	5783	2021
741	5790	2013
742	5797	2005
743	5804	1997
744	5811	1989
745	5818	1981
746	5825	1973
747	5834	1965
748	5841	1957
749	5849	1949
750	5856	1941
751	5863	1933
752	5870	1925
753	5877	1917
754	5884	1909
755	5892	1901
756	5899	1893
757	5906	1885
758	5913	1877
759	5921	1869
760	5928	1861
761	5935	1853
762	5942	1845
763	5949	1837
764	5956	1829
765	5963	1821
766	5970	1813
767	5978	1805
768	5985	1797
769	5992	1789
770	5999	1781
771	6006	1773
772	6013	1765
773	6020	1757
774	6027	1749
775	6034	1741
776	6041	1733
777	6048	1726
778	6055	1717
779	6062	1710
780	6069	1702
781	6080	1695
782	6090	1687
783	6097	1679
784	6104	1671
785	6111	1663
786	6118	1656
787	6125	1648
788	6133	1640
789	6140	1632
790	6147	1624
791	6154	1616
792	6161	1608
793	6168	1600
794	6175	1592
795	6182	1584
796	6189	1576
797	6196	1568
798	6204	1560
799	6211	1552
800	6218	1544
801	6225	1537
802	6233	1529
803	6241	1521
804	6249	1513
805	6261	1507
806	6270	1499
807	6279	1492
808	6287	1484
809	6295	1476
810	6304	1469
811	6313	1461
812	6321	1454
813	6330	1446
814	6339	1438
815	6347	1431
816	6371	1427
817	6379	1419
818	6388	1411
819	6396	1404
820	6404	1396
821	6412	1388
822	6421	1380
823	6428	1373
824	6436	1365
825	6444	1357
826	6452	1349
827	6468	1343
828	6476	1335
829	6484	1328
830	6492	1320
831	6499	1312
832	6507	1304
833	6515	1296
834	6523	1288
835	6530	1281
836	6537	1273
837	6544	1265
838	6552	1257
839	6559	1249
840	6566	1241
841	6574	1233
842	6581	1225
843	6588	1217
844	6595	1209
845	6603	1202
846	6610	1194
847	6617	1186
848	6624	1178
849	6632	1170
850	6639	1162
851	6646	1154
852	6653	1146
853	6660	1138
854	6667	1130
855	6674	1122
856	6681	1114
857	6688	1107
858	6696	1099
859	6703	1091
860	6710	1083
861	6717	1075
862	6726	1067
863	6733	1059
864	6740	1051
865	6756	1045
866	6764	1037
867	6771	1029
868	6778	1021
869	6786	1014
870	6793	1006
871	6800	998
872	6807	990
873	6814	982
874	6823	974
875	6832	967
876	6839	959
877	6847	951
878	6854	943
879	6862	935
880	6870	927
881	6877	920
882	6885	912
883	6894	904
884	6902	896
885	6910	889
886	6917	881
887	6925	873
888	6933	865
889	6941	857
890	6949	850
891	6957	842
892	6965	834
893	6973	826
894	6981	819
895	6988	811
896	6996	803
897	7004	795
898	7011	787
899	7019	779
900	7027	772
901	7034	764
902	7042	756
903	7050	748
904	7060	741
905	7074	734
906	7082	726
907	7090	718
908	7098	710
909	7105	702
910	7113	694
911	7121	687
912	7130	679
913	7138	671
914	7146	663
915	7155	656
916	7163	648
917	7170	640
918	7179	632
919	7188	625
920	7196	617
921	7205	609
922	7213	601
923	7221	593
924	7229	586
925	7238	578
926	7246	570
927	7254	562
928	7262	555
929	7271	547
930	7279	539
931	7286	531
932	7294	523
933	7301	515
934	7309	508
935	7317	500
936	7324	492
937	7333	484
938	7340	476
939	7348	469
940	7356	461
941	7364	453
942	7372	445
943	7380	437
944	7387	429
945	7395	422
946	7403	414
947	7410	406
948	7418	398
949	7426	390
950	7434	383
951	7441	375
952	7450	367
953	7458	359
954	7466	351
955	7473	343
956	7481	336
957	7489	328
958	7497	320
959	7504	312
960	7512	304
961	7520	297
962	7528	289
963	7536	281
964	7544	273
965	7551	265
966	7559	257
967	7567	250
968	7574	242
969	7582	234
970	7589	226
971	7597	218
972	7605	211
973	7612	203
974	7620	195
975	7628	187
976	7636	179
977	7645	171
978	7655	164
979	7662	156
980	7670	148
981	7677	140
982	7685	132
983	7692	125
984	7700	117
985	7708	109
986	7716	101
987	7723	93
988	7731	85
989	7740	78
990	7747	70
991	7755	62
992	7763	54
993	7771	46
994	7778	39
995	7787	31
996	7806	23
997	7821	15
998	7836	7
999	7850	0
