iter	RMSE
307	275.1963144
308	275.12098
309	275.1108896
310	274.9564699
311	274.8577967
312	274.5674101
313	274.4743026
314	274.2780634
315	274.1691734
316	274.0614134
317	273.9823602
318	273.8725571
319	273.8126641
320	273.5841609
321	273.4257654
322	273.2409731
323	273.0240604
324	272.874474
325	272.7669566
326	272.7179812
327	272.6148559
328	272.601335
329	272.5283831
330	272.3641242
331	272.2805016
332	272.2321917
333	272.0499834
334	272.0414422
335	272.0285844
336	272.0177523
337	272.0071607
338	271.8787994
339	271.7879249
340	271.7215496
341	271.6196563
342	271.5642699
343	271.3903381
344	270.9745828
345	270.963947
346	270.8243103
347	270.8166499
348	270.6039244
349	270.5334399
350	270.3803507
351	270.2787838
352	270.1337922
353	269.9071276
354	269.5679352
355	269.4624531
356	269.376533
357	269.2720731
358	269.0656523
359	268.8568752
360	268.7155666
361	268.5890453
362	268.4768149
363	268.3354773
364	268.2099093
365	268.0415632
366	267.6546344
367	267.3401173
368	267.2450464
369	267.1218102
370	266.9732649
371	266.873513
372	266.7578037
373	266.7068287
374	266.6932976
375	266.5626772
376	266.4248718
377	266.4166646
378	266.317173
379	266.2315884
380	266.1274411
381	266.1175585
382	266.0469601
383	265.9294933
384	265.9220894
385	265.8747163
386	265.8007263
387	265.7696601
388	265.7198064
389	265.5987411
390	265.4856673
391	265.071424
392	264.8623592
393	264.826472
394	264.7223957
395	264.6676949
396	264.4903561
397	264.4457641
398	264.4348678
399	264.422674
400	264.3454727
401	264.0345995
402	263.8522772
403	263.8172074
404	263.7050142
405	263.6312938
406	263.5010976
407	263.4316116
408	263.3610408
409	263.2805148
410	263.1422191
411	263.0687019
412	262.9918302
413	262.7007159
414	262.6353754
415	262.5374216
416	262.4490265
417	262.386855
418	262.3263243
419	262.1785689
420	262.1693159
421	262.0286799
422	261.9831529
423	261.7938457
424	261.6879166
425	261.3871057
426	261.2643539
427	261.0101773
428	260.8984359
429	260.6768511
430	260.6055204
431	260.5287828
432	260.3829532
433	260.3197737
434	260.2636139
435	260.2026844
436	260.0673458
437	259.682635
438	259.6280232
439	259.537756
440	259.4614277
441	259.3880177
442	259.3801311
443	259.3742268
444	259.2785131
445	259.1847351
446	259.0997832
447	259.0937015
448	259.0258361
449	258.9211276
450	258.8677993
451	258.7292015
452	258.5797836
453	258.4849667
454	258.423486
455	258.3014326
456	258.2730127
457	258.2249159
458	258.145599
459	258.1350314
460	258.0755844
461	258.0005554
462	257.7847821
463	257.681442
464	257.6160817
465	257.5371008
466	257.4544662
467	257.3725411
468	257.3373321
469	257.1942564
470	257.0356271
471	256.9817238
472	256.9114486
473	256.7669234
474	256.6737379
475	256.5509072
476	256.4842718
477	256.3447767
478	256.3175101
479	256.3103375
480	256.2270525
481	256.2034223
482	256.0977467
483	255.9631613
484	255.594989
485	255.5677547
486	255.4790723
487	255.3864463
488	255.2913841
489	255.2589414
490	255.0643625
491	255.0039898
492	254.9206343
493	254.8098025
494	254.662331
495	254.5839931
496	254.5479779
497	254.539969
498	254.5087539
499	254.4966513
500	254.2564729
501	254.1499208
502	254.1009132
503	254.0130013
504	253.930442
505	253.8496616
506	253.7621097
507	253.6661826
508	253.6471332
509	253.5708129
510	253.342029
511	253.2861425
512	253.2169096
513	253.1053051
514	253.0209917
515	252.9361636
516	252.6178585
517	252.5175941
518	252.4940663
519	252.465738
520	252.3874938
521	252.3103879
522	252.2459805
523	252.1786607
524	252.0851881
525	252.0802462
526	252.0300745
527	252.0001291
528	251.9448461
529	251.8184291
530	251.767382
531	251.7611987
532	251.6863783
533	251.3738677
534	251.3688733
535	251.2831771
536	251.1860124
537	251.0922249
538	250.999066
539	250.9942538
540	250.9477105
541	250.8705789
542	250.6882063
543	250.6093315
544	250.4063712
545	250.3313619
546	250.2604629
547	250.2065163
548	250.1130482
549	250.0376556
550	249.993351
551	249.9888029
552	249.8222438
553	249.7619498
554	249.6876121
555	249.606779
556	249.56306
557	249.4640983
558	249.3761166
559	249.3382042
560	249.2500393
561	249.2429219
562	249.177919
563	249.086929
564	248.9804019
565	248.8627464
566	248.8077785
567	248.7362469
568	248.6708934
569	248.652375
570	248.5656151
571	248.4886214
572	248.44834
573	248.3835815
574	248.3571813
575	248.3102095
576	248.262201
577	248.1776026
578	248.1041866
579	248.0602194
580	248.0357167
581	248.0122236
582	247.9521388
583	247.9122654
584	247.8053047
585	247.7793136
586	247.6788454
587	247.5142824
588	247.4459674
589	247.3414441
590	247.3173171
591	247.3028747
592	247.2575632
593	247.1917697
594	247.123373
595	247.0416632
596	247.0145625
597	246.9646571
598	246.9012906
599	246.8558399
600	246.6734969
601	246.6231759
602	246.5462468
603	246.2694208
604	246.2442559
605	246.1269374
606	246.0720432
607	246.0163203
608	245.9511497
609	245.8984952
610	245.8267569
611	245.7576781
612	245.6972336
613	245.5937548
614	245.5386152
615	245.463889
616	245.3846116
617	245.3229682
618	245.2842101
619	245.2787403
620	245.2158979
621	245.1430262
622	244.9809891
623	244.9282355
624	244.6501314
625	244.6141451
626	244.5124764
627	244.4839969
628	244.4122963
629	244.3478472
630	244.32538
631	244.1700341
632	244.1077328
633	244.1038478
634	244.0712137
635	243.9384332
636	243.8599426
637	243.7563558
638	243.4038178
639	243.3753035
640	243.271531
641	243.2539056
642	243.191847
643	243.0850771
644	243.0278817
645	242.9607697
646	242.8659828
647	242.860712
648	242.7709767
649	242.7074357
650	242.5920518
651	242.5882847
652	242.5253643
653	242.4842758
654	242.4568059
655	242.4374793
656	242.3405
657	242.3186492
658	242.2609785
659	242.121176
660	242.0691243
661	241.9844802
662	241.9291251
663	241.8689721
664	241.7747044
665	241.7066269
666	241.6284616
667	241.5645941
668	241.5067314
669	241.4499004
670	241.42353
671	241.3517816
672	241.3234267
673	241.2334205
674	241.2297749
675	241.222253
676	241.1712239
677	241.1004699
678	241.0970047
679	241.0720525
680	240.9949503
681	240.9477973
682	240.9042403
683	240.849415
684	240.7580091
685	240.7010888
686	240.5971515
687	240.5404733
688	240.3922617
689	240.363136
690	240.3437239
691	240.3253845
692	240.2351339
693	240.2009116
694	240.1318773
695	240.0888487
696	240.0751953
697	240.0009544
698	239.9399452
699	239.8903597
700	239.7984283
701	239.7959675
702	239.7151922
703	239.6434663
704	239.493419
705	239.4212507
706	239.3953337
707	239.3572289
708	239.3028135
709	239.3003071
710	239.2188381
711	239.2009177
712	239.1233262
713	239.0620931
714	238.9968029
715	238.9330342
716	238.8534493
717	238.7147153
718	238.7101886
719	238.7079531
720	238.64298
721	238.6265339
722	238.5566842
723	238.534627
724	238.4951273
725	238.4574445
726	238.3714675
727	238.3073657
728	238.2538586
729	238.2281083
730	238.1554582
731	238.1529578
732	238.1143253
733	237.9018641
734	237.8987351
735	237.8680696
736	237.8191978
737	237.803026
738	237.8007772
739	237.762921
740	237.4844499
741	237.4089023
742	237.3733952
743	237.3695047
744	237.3673295
745	237.0481777
746	236.9965759
747	236.9751927
748	236.9275596
749	236.8831439
750	236.8518244
751	236.8239518
752	236.7410963
753	236.6876423
754	236.6674806
755	236.5910636
756	236.5331646
757	236.5270181
758	236.4932866
759	236.4751718
760	236.4730377
761	236.4005847
762	236.3191026
763	236.2708344
764	236.2420428
765	236.1709833
766	236.1653839
767	236.0839104
768	235.9435277
769	235.9379747
770	235.9206935
771	235.9185815
772	235.8984449
773	235.8808549
774	235.8405152
775	235.8018971
776	235.7066388
777	235.5849288
778	235.5829177
779	235.5522274
780	235.491894
781	235.4686801
782	235.4101489
783	235.3914597
784	235.3735128
785	235.3089542
786	235.2299113
787	235.1599966
788	235.1355885
789	235.1198235
790	235.0754255
791	234.9963826
792	234.9662566
793	234.8973851
794	234.581623
795	234.5425693
796	234.4933192
797	234.4465827
798	234.354224
799	234.3315752
800	234.3022533
801	234.2516311
802	234.1559847
803	234.0717693
804	233.951934
805	233.889891
806	233.8632652
807	233.8368291
808	233.8192606
809	233.792833
810	233.7522092
811	233.6989853
812	233.4575938
813	233.2584543
814	233.1837995
815	233.1199241
816	233.105954
817	233.0708632
818	233.0412948
819	233.0084915
820	232.9507764
821	232.8924686
822	232.8275414
823	232.7816878
824	232.7164392
825	232.6322573
826	232.6143392
827	232.5658032
828	232.5014213
829	232.4563957
830	232.4545437
831	232.3842348
832	232.264111
833	232.2188797
834	232.1918815
835	232.1371898
836	231.9758809
837	231.9129482
838	231.8887401
839	231.8243409
840	231.7865585
841	231.746288
842	231.7351552
843	231.6950549
844	231.6001967
845	231.5655697
846	231.4737957
847	231.4500409
848	231.4327231
849	231.3475892
850	231.3224744
851	231.3022183
852	231.2538843
853	231.2477815
854	231.2014936
855	231.1844977
856	230.9347379
857	230.8966308
858	230.8519375
859	230.8340056
860	230.7940672
861	230.7813093
862	230.7324562
863	230.6706769
864	230.6139154
865	230.6120038
866	230.570069
867	230.4825881
868	230.4716429
869	230.4550186
870	230.4226672
871	230.3013406
872	230.2530134
873	230.2261974
874	230.1750744
875	230.163051
876	230.1153087
877	230.0762886
878	230.0250297
879	229.975807
880	229.9416138
881	229.9125103
882	229.8620863
883	229.7788899
884	229.7109406
885	229.6617629
886	229.6115189
887	229.536607
888	229.5187616
889	229.4789564
890	229.4307811
891	229.3763613
892	229.3131487
893	229.290835
894	229.2277892
895	229.1628687
896	229.0384508
897	228.9895363
898	228.9402515
899	228.8815419
900	228.7304464
901	228.6762898
902	228.5590235
903	228.5526382
904	228.5503471
905	228.5075303
906	228.491134
907	228.4240094
908	228.389439
909	228.3872137
910	228.2755815
911	228.2046731
912	228.1517032
913	228.1137196
914	228.0524835
915	228.0068159
916	227.9903424
917	227.9368693
918	227.9046928
919	227.8916887
920	227.6724152
921	227.5869736
922	227.5513808
923	227.5301197
924	227.4557113
925	227.2037033
926	227.2018443
927	227.1531221
928	227.0463671
929	226.9895928
930	226.9470947
931	226.8622745
932	226.8211011
933	226.7394709
934	226.4848812
935	226.483076
936	226.4618706
937	226.387827
938	226.377119
939	226.3338823
940	226.2962286
941	226.2260813
942	226.202007
943	226.1539339
944	226.1057596
945	226.0056002
946	225.997402
947	225.9855605
948	225.9686391
949	225.884092
950	225.8825525
951	225.8527287
952	225.8066393
953	225.7702909
954	225.7121563
955	225.7103054
956	225.6918888
957	225.6391695
958	225.6083014
959	225.6063738
960	225.5730171
961	225.5588429
962	225.5082238
963	225.4923623
964	225.4769856
965	225.3866971
966	225.3429363
967	225.3411882
968	225.326499
969	225.2908347
970	225.2260991
971	225.2033562
972	225.1619141
973	225.0830482
974	225.081361
975	224.9940837
976	224.9491935
977	224.9255863
978	224.8640856
979	224.8296439
980	224.8113905
981	224.750578
982	224.7260586
983	224.7018476
984	224.6300423
985	224.5761957
986	224.3587486
987	224.324776
988	224.3230342
989	224.2360905
990	224.2207773
991	224.163736
992	224.1148584
993	224.1015312
994	224.0603043
995	224.0424465
996	223.9960958
997	223.9732686
998	223.9135594
999	223.8859667
